D,2.87
g_e,-28.03
B_field,"[0.00354, 0.00173, 0.0069500000000000004]"
2.868236472945892,0.3021337145639868
2.869138276553106,0.2940951337383251
2.8700400801603205,0.28613106171276576
2.870941883767535,0.27823680697838293
2.8718436873747493,0.27040622167820705
2.872745490981964,0.2626381420761618
2.8736472945891784,0.254927446998365
2.874549098196393,0.24726997198042194
2.875450901803607,0.239664997237677
2.8763527054108216,0.2321097932610821
2.877254509018036,0.22460457498099892
2.8781563126252503,0.21714622068513445
2.879058116232465,0.20974041231054644
2.8799599198396795,0.20238332419218513
2.880861723446894,0.1950808078754947
2.881763527054108,0.18783465744592598
2.8826653306613226,0.18065007289829108
2.883567134268537,0.17353247891250445
2.8844689378757513,0.1664857851262564
2.885370741482966,0.15951958888980416
2.8862725450901805,0.1526405285360997
2.887174348697395,0.1458566071873059
2.8880761523046092,0.1391750674985348
2.8889779559118236,0.13261078845951338
2.889879759519038,0.12616948671876263
2.8907815631262523,0.11986358239267811
2.891683366733467,0.11370575671174062
2.8925851703406815,0.10770572836830845
2.893486973947896,0.10187595850654807
2.8943887775551103,0.09623111607512819
2.8952905811623246,0.0907815412270068
2.896192384769539,0.0855413867914774
2.8970941883767534,0.08052359904033443
2.8979959919839677,0.07574140044134209
2.8988977955911825,0.07120886480664092
2.899799599198397,0.06693824579714296
2.9007014028056113,0.0629431711758626
2.9016032064128257,0.05923688115404925
2.90250501002004,0.05583295935750038
2.9034068136272544,0.05274497928868991
2.9043086172344688,0.049985441041525865
2.9052104208416836,0.04756627034804133
2.906112224448898,0.04550016912109696
2.9070140280561123,0.04380112376545874
2.9079158316633267,0.042479875594373065
2.908817635270541,0.041548041959791684
2.9097194388777554,0.0410157886072637
2.91062124248497,0.040896210862583944
2.911523046092184,0.04119767747930831
2.912424849699399,0.04192967229642756
2.9133266533066133,0.04310293022320013
2.9142284569138277,0.04472299692035573
2.915130260521042,0.0468002440307481
2.9160320641282564,0.04933786927755335
2.916933867735471,0.05234461040840295
2.9178356713426856,0.05582303796480745
2.9187374749499,0.0597767744714735
2.9196392785571144,0.06420841140474509
2.9205410821643287,0.06911864819863231
2.921442885771543,0.07450625348558787
2.9223446893787575,0.08037077165916609
2.923246492985972,0.086707199655356
2.924148296593186,0.09351187035149716
2.9250501002004006,0.1007789624881545
2.9259519038076154,0.10849714297322127
2.9268537074148298,0.11666061608544154
2.927755511022044,0.12525630769510382
2.9286573146292585,0.1342703771222726
2.929559118236473,0.14369061487073334
2.9304609218436872,0.15349940051732874
2.931362725450902,0.16367986004268936
2.9322645290581164,0.1742120193693472
2.9331663326653308,0.18507912840797572
2.934068136272545,0.19625685179903463
2.9349699398797595,0.20772447072715333
2.935871743486974,0.21945811614739363
2.9367735470941883,0.2314327117947058
2.9376753507014026,0.24362768994236553
2.9385771543086174,0.25601348678121494
2.939478957915832,0.2685691111021424
2.940380761523046,0.28126563026088136
2.9412825651302605,0.2940818778640604
2.942184368737475,0.30698895248047875
2.9430861723446893,0.3199653157760356
2.9439879759519036,0.3329863149079402
2.9448897795591185,0.3460309211462672
2.945791583166333,0.3590716770606909
2.946693386773547,0.372094840631915
2.9475951903807616,0.3850782062264211
2.948496993987976,0.3979988428496868
2.9493987975951903,0.41084664913242563
2.9503006012024047,0.42360366950320594
2.951202404809619,0.4362539007801799
2.952104208416834,0.44878607351174227
2.953006012024048,0.46118972783094636
2.9539078156312626,0.47345585532104834
2.954809619238477,0.48557124391048245
2.9557114228456913,0.49753991926510355
2.9566132264529057,0.5093483280362916
2.9575150300601205,0.5209958659820197
2.958416833667335,0.532478544684937
2.9593186372745492,0.5437968132004274
2.9602204408817636,0.5549482673251058
2.961122244488978,0.5659372258111968
2.9620240480961924,0.5767592230426967
2.9629258517034067,0.587424012621612
2.963827655310621,0.5979237303262831
2.9647294589178355,0.6082738962605458
2.9656312625250503,0.6184646210867885
