D,2.87
g_e,-28.03
B_field,"[0.00354, 0.00173, 0.0069500000000000004]"
3.785831663326653,0.9964325138349254
3.7898396793587175,0.9963024246187128
3.793847695390782,0.996159720413931
3.7978557114228457,0.9959944985879323
3.8018637274549096,0.9958092903078972
3.805871743486974,0.995622358431682
3.8098797595190383,0.9954652170681828
3.8138877755511023,0.9953752601547358
3.817895791583166,0.9953856080422279
3.8219038076152305,0.9955147076388595
3.8259118236472944,0.9957589865840922
3.8299198396793583,0.9960919249448597
3.8339278557114227,0.9964684822092894
3.837935871743487,0.996834521426996
3.841943887775551,0.9971391717840473
3.845951903807615,0.9973449774075172
3.8499599198396792,0.9974361918221885
3.8539679358717436,0.9974191041969698
3.8579759519038075,0.9973181606162512
3.8619839679358714,0.997167432595987
3.8659919839679358,0.9969998757544135
3.87,0.9968393749650806
